actors,boxoffice,directors,time,title,type
"王力宏,宋茜,高以翔,高圣远",1412万,雷尼·哈林,"2018,10,01",古剑奇谭之流月昭明,"奇幻,动作"
"埃迪·雷德梅恩,汤姆·希德勒斯顿,麦茜·威廉姆斯,理查德·艾欧阿德",358万,尼克·帕克,"2018,10,19",无敌原始人,"喜剧,动画,冒险"
"董子健,钟楚曦,春夏,袁福福",3502万,柯孟融,"2018,04,20",脱单告急,"剧情,喜剧,爱情"
"郭采洁,郑恺,李东学,谢依霖",,陈鸿仪,2018,下一任：前任,爱情
"王凯,杨祐宁,古天乐,韩庚",,周显扬,2018,真·三国无双,"动作,战争,奇幻,武侠"
,137万,曹博,"2018,11,03",八仙,"动画,动作"
"李彦锋,王雨晗,徐晨耀,钟卫华",4万,李伟,"2018,11,16",最后一公里,剧情
"梁朝伟,吴亦凡,唐嫣,杜鹃",1.53亿,马楚成,"2018,08,17",欧洲攻略,"爱情,喜剧,动作"
"宫野真守,樱井孝宏,花泽香菜",162万,"静野孔文,濑下宽之","2018,09,21",哥斯拉：怪兽行星,"动画,动作,科幻"
"蔡宇,饶子君,土旦巴桑,次仁顿珠",2058万,饶子君,"2018,08,31",藏北秘岭-重返无人区,纪录片
"王千源,袁姗姗,刘桦,周游",6879万,李昕芸,"2018,06,22",龙虾刑警,"喜剧,动作,犯罪"
"伊尔凡·可汗,萨巴·卡玛尔,内哈·迪胡皮阿,迪帕克·迪布里亚尔",2.10亿,萨基特·乔杜里,"2018,04,04",起跑线,"剧情,喜剧"
"姜文,巩俐,滕汝骏,钱明",86万,张艺谋,"1988,10,10",红高粱,"剧情,爱情,战争"
"杰基·韦佛,理查德·劳斯伯格,诺亚·泰勒,米瑞安·玛格莱斯",690万,亚历克斯·施塔德曼,"2018,10,12",玛雅蜜蜂历险记,"动画,喜剧,冒险"
"张家辉,徐静蕾,何炅,余男",3490万,张家辉,"2018,04,28",低压槽：欲望之城,"动作,犯罪"
"杰西卡·罗德,伊瑟尔·布罗萨德,露比·莫迪恩,查尔斯·艾特肯",6126万,克里斯托弗·兰登,"2018,02,02",忌日快乐,"喜剧,恐怖,惊悚"
"娜塔莉·波特曼,詹妮弗·杰森·李,吉娜·罗德里格兹,泰莎·汤普森",6607万,亚历克斯·嘉兰,"2018,04,13",湮灭,"剧情,动作,科幻"
"秦海璐,王学兵,刘丹,李心然",,章明,"2018,12,07",冥王星时刻,剧情
"莎莉·霍金斯,迈克尔·珊农,理查德·詹金斯,道格·琼斯",1.05亿,吉尔莫·德尔·托罗,"2018,03,16",水形物语,"剧情,爱情,奇幻"
"凯文·德·保拉,贝利,索·豪黑",2827万,"杰夫·泽姆巴利斯特,迈克尔·泽姆巴利斯特","2018,09,07",传奇的诞生,剧情
"罗翔,苏小妹,王双琥,张佳浩",12万,梁立新,"2018,11,02",产科男生,"喜剧,爱情"
"萨尔曼·汗,安努舒卡·莎玛,兰迪普·弘达,马雷塞·克伦普",3614万,阿里·阿巴斯·札法,"2018,08,31",苏丹,"剧情,爱情,动作"
"周浩东,牛宝军,于心妍,李宜儒",,王启蘅,"2018,09,19",特别追踪,犯罪
"阿尔登·埃伦瑞奇,艾米莉亚·克拉克,唐纳德·格洛弗,伍迪·哈里森",1.06亿,朗·霍华德,"2018,05,25",游侠索罗：星球大战外传,"动作,科幻"
"梁家辉,魏晨,邓超,彭于晏",,梁家辉,2018,深夜食堂,剧情
"休·杰克曼,扎克·埃夫隆,米歇尔·威廉姆斯,丽贝卡·弗格森",1.01亿,迈克尔·格雷西,"2018,02,01",马戏之王,"剧情,传记,歌舞"
"张国荣,张曼玉,刘德华,刘嘉玲",1974万,王家卫,"2018,06,25",阿飞正传,"剧情,爱情,犯罪"
"黛西·雷德利,约翰·博耶加,奥斯卡·伊萨克,亚当·德赖弗",2.68亿,莱恩·约翰逊,"2018,01,05",星球大战：最后的绝地武士,"动作,冒险,科幻"
"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔,艾比·考尼什",6498万,马丁·麦克唐纳,"2018,03,02",三块广告牌,"剧情,犯罪"
"宋洋,姜武,袁文康,谭卓",5425万,忻钰坤,"2018,04,04",暴裂无声,"惊悚,悬疑,犯罪"
"赵路,武皓栋,殷筱瑜",3723万,"赵锐,克里斯·詹金斯","2018,03,09",妈妈咪鸭,"动画,冒险,家庭"
"弗拉季米尔·弗多维琴科夫,柳波芙·阿克肖诺娃,欧克萨娜·范德拉,玛丽亚·米罗诺娃",1686万,克利姆·希片科,"2018,01,12",太空救援,"动作,冒险,科幻"
"Aamir Hussain Khan,塞伊拉·沃西,拉杰·阿晶,法如克·贾法尔",7.47亿,阿德瓦·香登,"2018,01,19",神秘巨星,"剧情,喜剧,音乐"
"赵又廷,杨子姗",2.34亿,吴有音,"2018,02,01",南极之恋,"爱情,冒险"
"白客,蓝盈莹,张海宇,周楚濋",5101万,顾长卫,"2018,03,29",遇见你真好,"剧情,喜剧,爱情"
,,"薛之谦,朱桢,吴斌","2018,06,14",好久不见薛之谦,"纪录片,音乐"
"岳云鹏,吴京,吴秀波,井柏然",1.70亿,郭德纲,"2018,02,16",祖宗十九代,"喜剧,奇幻"
,,谭家明,2018,侠盗,"动作,武侠"
"孙耀威,叶芷如,阮颂扬,周嘉莉",,冼国林,2018,6E班,"剧情,爱情"
,,"陈鲁豫,六小龄童,黄晓明,Aamir Hussain Khan","2018,04,18",鲁豫有约一日行第四季,真人秀
"王若涵,于新博,侯岩松,石梁一骁",,陶纯,2018,骑遇,"剧情,喜剧,爱情"
"吴耀汉,朱咪咪,陈峰,林静",1万,丁仕昀,"2018,06,15",疯狂这一年,"剧情,喜剧"
,,马库斯·亨德森,"2018,10,23",猛犸山,剧情
"蒋济远,王馨月,王馨云,郭俊宇",11万,何志涛,"2018,06,01",寻找雪山,剧情
,,"丁程鑫,马嘉祺,敖子逸,张真源,陈玺达",2018,台风少年,真人秀
"邱彦翔,莫子仪,白梓轩,许玮甯",,陈宏一,2018,相爱的七种设计,"剧情,喜剧,爱情"
雷军,,周浩,"2018,07,17",一团火,"纪录片,短片"
"李诚儒,王姬,张桐,于金源",24万,李诚儒,"2018,02,09",大导归来,"剧情,喜剧"
,,,"2018,06,05",告别昨天的我们,"剧情,历史,战争"
,,桑坤,"2018,10,17",半部天书,"悬疑,奇幻,冒险,古装"
"王凯,马天宇,王大陆,余皑磊",6307万,丁晟,"2018,01,18",英雄本色2018,"剧情,动作"
"詹姆斯·弗兰科,佐伊·克拉维兹,丹尼斯·奎德",,"Jonathan Baker,Josh Baker",2018,同族,"动作,惊悚,科幻"
,,"蔡徐坤,陈立农,范丞丞,黄明昊,林彦俊","2018,06,26",爱在NINE PERCENT,"纪录片,脱口秀"
"布莱恩·科兰斯顿,朱亚文,爱德华·哈里森·诺顿,比尔·默瑞",4352万,韦斯·安德森,"2018,04,20",犬之岛,"喜剧,动画,冒险"
"聂远,谭凯,徐露,于明加",1207万,姜凯阳,"2018,09,06,19,15",道高一丈,"剧情,悬疑,犯罪"
"林强,刘康,徐梦娟,郭政建",381万,王琦,"2018,10,04",嘻哈英熊,"喜剧,动画,冒险"
"上户彩,斋藤工,伊藤步,平山浩行",1434万,西谷弘,"2018,05,18",昼颜,"剧情,爱情"
,881万,"叶伟青,王以立","2018,07,14",小悟空,"喜剧,动画,冒险"
