['博物馆奇妙夜3'],['肖恩·利维'],"['本·斯蒂勒', '罗宾·威廉姆斯', '欧文·威尔逊', '丹·史蒂文斯']","['喜剧,奇幻,家庭']","['2015', '01', '04']",['3.22亿']
['赛尔号大电影5：雷神崛起'],['王章俊'],"['罗玉婷', '翟巍', '孙晔', '吴磊']","['动画,剧情,冒险']","['2015', '07', '23']",['5662万']
['帕丁顿熊'],['保罗·金'],"['本·威士肖', '妮可·基德曼', '休·博纳维尔', '莎莉·霍金斯']","['喜剧,动画,家庭']","['2015', '03', '05']",['9945万']
['小时代4：灵魂尽头（含纪录片《最好的我们》）'],['郭敬明'],"['张汉盛', '杨幂', '郭采洁', '郭碧婷']","['纪录片,短片']","['2015', '07', '20']",['290万']
['一路惊喜'],"['金依萌', '潘安子']","['郭采洁', '凤小岳', '赵丽颖']","['爱情,家庭,喜剧']","['2015', '02', '06']",['6896万']
['再次出发之纽约遇见你'],['约翰·卡尼'],"['凯拉·奈特莉', '马克·鲁法洛', '亚当·莱文', '海莉·斯坦菲尔德']","['喜剧,爱情,音乐']","['2015', '06', '26']",['2027万']
['剩者为王'],['落落'],"['舒淇', '彭于晏', '潘虹', '金士杰']","['剧情,爱情']","['2015', '11', '06']",['6148万']
['像素大战'],['克里斯·哥伦布'],"['亚当·桑德勒', '米歇尔·莫纳汉', '凯文·詹姆斯', '彼特·丁拉基']","['喜剧,动作,科幻']","['2015', '09', '15']",['1.01亿']
['我是证人'],['安相勋'],"['杨幂', '鹿晗', '王景春', '朱亚文']","['悬疑,犯罪,惊悚']","['2015', '10', '30']",['2.15亿']
['模仿游戏'],['莫滕·泰杜姆'],"['本尼迪克特·康伯巴奇', '凯拉·奈特莉', '马修·古迪', '罗里·金奈尔']","['剧情,战争,传记']","['2015', '07', '21']",['5256万']
['喜羊羊与灰太狼之羊年喜羊羊'],['黄伟明'],"['祖晴', '张琳', '邓玉婷', '梁颖']","['喜剧,动画']","['2015', '01', '31']",['6750万']
['功夫3D'],['周星驰'],"['周星驰', '黄圣依', '元华', '元秋']","['喜剧,动作,犯罪']","['2015', '01', '15']",['2543万']
['刺客聂隐娘'],['侯孝贤'],"['舒淇', '张震', '周韵', '妻夫木聪']","['剧情,武侠,古装']","['2015', '08', '27']",['6141万']
['2015 张艺兴生日会'],['张艺兴'],[],"['音乐,歌舞']","['2015', '10', '17']",[]
['浪漫天降'],['宁瀛'],"['夏雨', '关晓彤', '邱泽', '刘孜']","['喜剧,爱情']","['2015', '10', '23']",['785万']
['万物生长'],['李玉'],"['范冰冰', '韩庚', '齐溪', '杨迪']","['剧情,爱情']","['2015', '04', '17']",['1.48亿']
['横冲直撞好莱坞'],['蒂姆·肯德尔'],"['赵薇', '黄晓明', '佟大为', '姜成镐']","['喜剧,动作,冒险']","['2015', '06', '26']",['3.22亿']
['冲上云霄'],"['叶伟信', '邹凯光']","['古天乐', '郑秀文', '吴镇宇']","['剧情,爱情']","['2015', '02', '19']",['1.55亿']
['闯堂兔2：疯狂马戏团'],['曾宪林'],"['小连杀', '谢昀杉', '郝翔海', '王祺']","['动画,喜剧,冒险']","['2015', '01', '01']",['2089万']
